,0,1,2,3,4,5
117,53.0,10.0,28.0,51.0,5.0,53.0
118,39.0,10.0,17.0,32.0,2.0,39.0
119,43.0,11.0,18.0,89.0,3.0,89.0
120,57.0,12.0,20.0,88.0,4.0,88.0
121,50.0,8.0,27.0,67.0,4.0,67.0
122,62.0,10.0,34.0,86.0,4.0,86.0
123,49.0,9.0,22.0,68.0,4.0,68.0
124,51.0,11.0,23.0,53.0,4.0,53.0
125,49.0,10.0,22.0,31.0,5.0,49.0
126,53.0,8.0,26.0,48.0,6.0,53.0
127,55.0,10.0,27.0,52.0,3.0,55.0
128,54.0,11.0,30.0,42.0,5.0,54.0
129,64.0,11.0,28.0,35.0,4.0,64.0
130,76.0,14.0,28.0,87.0,5.0,87.0
131,71.0,15.0,25.0,78.0,5.0,78.0
132,59.0,12.0,20.0,80.0,5.0,80.0
133,50.0,12.0,20.0,76.0,3.0,76.0
134,20.0,15.0,19.0,91.0,5.0,91.0
135,53.0,11.0,21.0,78.0,6.0,78.0
136,60.0,11.0,24.0,56.0,7.0,60.0
137,56.0,11.0,20.0,81.0,9.0,81.0
138,46.0,11.0,23.0,85.0,7.0,85.0
139,59.0,15.0,18.0,64.0,6.0,64.0
140,51.0,14.0,19.0,53.0,3.0,53.0
141,35.0,14.0,19.0,53.0,5.0,53.0
142,44.0,13.0,21.0,85.0,11.0,85.0
143,61.0,17.0,20.0,82.0,8.0,82.0
144,69.0,14.0,19.0,87.0,4.0,87.0
145,54.0,13.0,20.0,134.0,9.0,134.0
146,69.0,14.0,24.0,79.0,8.0,79.0
147,58.0,15.0,16.0,65.0,4.0,65.0
148,36.0,12.0,20.0,31.0,3.0,36.0
149,61.0,18.0,23.0,29.0,3.0,61.0
150,56.0,15.0,17.0,26.0,3.0,56.0
151,41.0,11.0,20.0,23.0,3.0,41.0
152,53.0,14.0,25.0,75.0,4.0,75.0
153,71.0,15.0,21.0,75.0,4.0,75.0
154,42.0,13.0,23.0,72.0,5.0,72.0
155,36.0,12.0,28.0,55.0,5.0,55.0
156,31.0,12.0,19.0,63.0,6.0,63.0
157,41.0,16.0,18.0,32.0,4.0,41.0
158,38.0,21.0,18.0,31.0,3.0,38.0
159,51.0,20.0,17.0,47.0,3.0,51.0
160,50.0,13.0,20.0,77.0,4.0,77.0
