,PM10,SO2,CO,O3,NO2,Max
1898,0.2754491017964072,0.48571428571428565,0.1523809523809524,0.025906735751295335,0.08490566037735849,0.29441624365482233
1899,0.22754491017964074,0.5285714285714286,0.09523809523809525,0.06735751295336788,0.16981132075471697,0.25380710659898476
1900,0.23353293413173654,0.5142857142857142,0.1523809523809524,0.031088082901554407,0.10377358490566038,0.25888324873096447
1901,0.3592814371257485,0.5,0.16190476190476194,0.07253886010362694,0.1981132075471698,0.36548223350253806
1902,0.3353293413173653,0.5,0.2,0.056994818652849735,0.2641509433962264,0.34517766497461927
1903,0.281437125748503,0.5,0.09523809523809525,0.056994818652849735,0.1320754716981132,0.299492385786802
1904,0.15568862275449102,0.5,0.0761904761904762,0.02072538860103627,0.07547169811320754,0.19289340101522842
1905,0.10179640718562874,0.5,0.028571428571428574,0.015544041450777205,0.04716981132075472,0.1878172588832487
1906,0.11377245508982037,0.5,0.04761904761904763,0.005181347150259068,0.0660377358490566,0.1878172588832487
1907,0.1437125748502994,0.5142857142857142,0.04761904761904763,0.015544041450777205,0.08490566037735849,0.19289340101522842
1908,0.12574850299401197,0.5,0.0761904761904762,0.015544041450777205,0.07547169811320754,0.1878172588832487
1909,0.40718562874251496,0.5857142857142856,0.12380952380952383,0.056994818652849735,0.14150943396226415,0.40609137055837563
1910,0.32335329341317365,0.5428571428571428,0.0761904761904762,0.06735751295336788,0.1320754716981132,0.33502538071065985
1911,0.2737326941331677,0.4594079173838143,0.12949247495608573,0.23809437840597927,0.10409873603223585,0.3583225092664568
1912,0.21556886227544914,0.5142857142857142,0.0761904761904762,0.04145077720207253,0.12264150943396226,0.24365482233502536
1913,0.2754491017964072,0.5142857142857142,0.14285714285714285,0.046632124352331605,0.1509433962264151,0.29441624365482233
1914,0.31736526946107785,0.5571428571428572,0.12380952380952383,0.07253886010362694,0.18867924528301885,0.3299492385786802
1915,0.4491017964071856,0.5714285714285714,0.13333333333333336,0.18134715025906736,0.2358490566037736,0.4416243654822335
1916,0.3473053892215569,0.5285714285714286,0.12380952380952383,0.06735751295336788,0.1792452830188679,0.35532994923857864
1917,0.281437125748503,0.5714285714285714,0.11428571428571431,0.05181347150259068,0.11320754716981132,0.299492385786802
1918,0.20958083832335328,0.5285714285714286,0.09523809523809525,0.015544041450777205,0.14150943396226415,0.23857868020304568
1919,0.16167664670658682,0.5428571428571428,0.08571428571428573,0.005181347150259068,0.07547169811320754,0.20304568527918782
1920,0.23353293413173654,0.5428571428571428,0.0761904761904762,0.07772020725388601,0.12264150943396226,0.25888324873096447
1921,0.25149700598802394,0.5428571428571428,0.12380952380952383,0.04145077720207253,0.1320754716981132,0.27411167512690354
1922,0.2634730538922156,0.5285714285714286,0.12380952380952383,0.046632124352331605,0.12264150943396226,0.2842639593908629
1923,0.19760479041916168,0.5428571428571428,0.0761904761904762,0.06735751295336788,0.11320754716981132,0.22842639593908629
1924,0.20359281437125748,0.5428571428571428,0.0761904761904762,0.046632124352331605,0.10377358490566038,0.23350253807106597
1925,0.40718562874251496,0.5571428571428572,0.2285714285714286,0.11398963730569948,0.1320754716981132,0.40609137055837563
1926,0.2694610778443114,0.5571428571428572,0.06666666666666667,0.11917098445595854,0.11320754716981132,0.2893401015228426
1927,0.2694610778443114,0.5428571428571428,0.13333333333333336,0.09844559585492228,0.1981132075471698,0.2893401015228426
1928,0.32335329341317365,0.5428571428571428,0.14285714285714285,0.12435233160621763,0.22641509433962265,0.33502538071065985
1929,0.29940119760479045,0.5571428571428572,0.06666666666666667,0.15544041450777205,0.1981132075471698,0.3147208121827411
1930,0.24550898203592814,0.5571428571428572,0.09523809523809525,0.08808290155440414,0.16981132075471697,0.26903553299492383
1931,0.30538922155688625,0.5428571428571428,0.08571428571428573,0.11398963730569948,0.11320754716981132,0.31979695431472077
1932,0.3652694610778443,0.5571428571428572,0.1523809523809524,0.10880829015544043,0.16981132075471697,0.3705583756345177
1933,0.37125748502994016,0.5428571428571428,0.09523809523809525,0.07772020725388601,0.08490566037735849,0.3756345177664974
1934,0.18562874251497008,0.5571428571428572,0.06666666666666667,0.08290155440414508,0.16037735849056603,0.2182741116751269
1935,0.281437125748503,0.5571428571428572,0.1523809523809524,0.09844559585492228,0.1981132075471698,0.299492385786802
1936,0.19161676646706588,0.5428571428571428,0.05714285714285715,0.02072538860103627,0.09433962264150943,0.22335025380710657
1937,0.30538922155688625,0.5857142857142856,0.14285714285714285,0.031088082901554407,0.1509433962264151,0.31979695431472077
1938,0.29341317365269465,0.5428571428571428,0.17142857142857143,0.02072538860103627,0.14150943396226415,0.3096446700507614
1939,0.31137724550898205,0.5571428571428572,0.19047619047619052,0.06735751295336788,0.1981132075471698,0.3248730964467005
1940,0.2694610778443114,0.5857142857142856,0.10476190476190476,0.09326424870466321,0.16037735849056603,0.2893401015228426
1941,0.25149700598802394,0.5714285714285714,0.06666666666666667,0.11398963730569948,0.11320754716981132,0.27411167512690354
1942,0.1377245508982036,0.5857142857142856,0.09523809523809525,0.031088082901554407,0.11320754716981132,0.2182741116751269
1943,0.2694610778443114,0.5714285714285714,0.10476190476190476,0.025906735751295335,0.16981132075471697,0.2893401015228426
1944,0.07185628742514971,0.5428571428571428,0.06666666666666667,0.02072538860103627,0.07547169811320754,0.20304568527918782
1945,0.08982035928143711,0.5428571428571428,0.04761904761904763,0.08290155440414508,0.05660377358490566,0.20304568527918782
1946,0.30538922155688625,0.5571428571428572,0.19047619047619052,0.05181347150259068,0.09433962264150943,0.31979695431472077
1947,0.24550898203592814,0.5571428571428572,0.10476190476190476,0.046632124352331605,0.12264150943396226,0.26903553299492383
1948,0.11976047904191617,0.5428571428571428,0.08571428571428573,0.056994818652849735,0.1320754716981132,0.20304568527918782
1949,0.10179640718562874,0.5571428571428572,0.0761904761904762,0.04145077720207253,0.09433962264150943,0.2081218274111675
1950,0.23952095808383234,0.5571428571428572,0.10476190476190476,0.06217616580310881,0.1320754716981132,0.2639593908629441
1951,0.12574850299401197,0.5714285714285714,0.0380952380952381,0.04145077720207253,0.05660377358490566,0.21319796954314718
1952,0.20958083832335328,0.5571428571428572,0.06666666666666667,0.046632124352331605,0.07547169811320754,0.23857868020304568
1953,0.2634730538922156,0.5571428571428572,0.16190476190476194,0.036269430051813475,0.12264150943396226,0.2842639593908629
